record_id_ref,rank,artist,thumbnail,subscribers,video_views,video_count,published_date,creation_timestamp,estimated_earnings
recIv1Km69vdIz3RH,1,Sat-B,cK8VmGVSsDxab8Kf6oFd9YxCtiNHgr612NqqQzxuAtHcBZSCIHTcAdToyNAjC-UJTgZpVkiVMA=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/nakaBiFRo-2KuQNKY6ePMg/0HGZqXg1W-vKdKs7DcOR893AhqjYoDJXwBmmmFD9zHtsFpOevhYcj1Sr_FpOLUZ6i6cpDEkLlfE4XLp7rpRCBrEfeCaTJrwdXCl8XnlO0GQMLAHj1l6AyxFB98HlXCsCQ6vN6LP_ehL5QKm5L25gjmkXU5O4YZwcbPuEyGTLwqpWvHaMMl0b03PIjNBMcF_axOSvONFT1lz6fq8I66s-Ag/c1Xe2OCuPbyievQt0ZmQYEcd2Cw8xCVLW-0j-spYh3w),215000,18912806,112,2014-09-24,2023-08-03 8:58pm,$1 - $23
recJktdL63pFjGUeg,2,Big Fizzo Official,TOvNpl0id1EG5kwqnifqVdMJL57s5gWfVVafm5a9y4MfRYpDZ8p_6MOoRPXmjQk3uY1ur2lk=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/LUwbMldzvvmZM_-oX0lq1Q/NVi9r678OxodfTazlfGUcQbeImFmIkyNpiwGiJw0cr0bGfSG8Mzp1ukn9Kt_T-doqRqbrnnDuV4WeGVXFbPxl2SfKx7Grucdn3_ybIoHrL0yxI-guzsvQHxtleOLqQy8w696WrrASH3F8axpoA1GxcLd9d66zmDIa4iIFc_9JreejHYBVdcw2fvRFH5LoC6Q-M-2uVY9CA3MOxjbaVpc3Q/q_EaFF-ye0JsKyVCVfk6aPZ_aWICC4CO4qWhMI6BRUA),130000,7223431,95,2016-04-08,2023-08-03 8:58pm,$1 - $11
recwItB3MdQvBATv9,3,Kidum Kibido,kpSZcSzV8oRD7dllWslUJSQ_ij77NuVxSBRwjhJGEaW8Zdc-AVZemqQlHCDlRQHduXhjmsWS=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/vpK4_8oLCiHXbBWaZWhWbw/Lq_lQTNqO-ZBhlPwotwHyOHMJ0ATtfBeckcRXjNViJE0gcTJPYPk6kOV7s8iqzkBrsbTo6gwDbx1HXw_4xjmuNuoFLGu5vB-rY0rt24ttxLrUdi1yrDdDLtI9q4naKpYqB7PNQGJfYTRSbGplvesAxd1jDxf98ROu7C5TX6hLqb2qCZk0MjZnMU44jJfGLuiQFu-XLzsKKe1Xx2kKul2mA/QfCCv2jcY_5tA6BwwNhLP6wlHEJnu1_4lF1wVYsINkE),116000,16812435,151,2015-04-17,2023-08-03 8:58pm,$1 - $22
recuTgIg6f2dBHF2D,4,Drama T,R89mDdfSR9xrK671hGHgMETPGhAolcHVJWED_JL3a7hVTXAELXVwyOchebU4IPHZnKr7tvzE=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/HhSuURErIxCoIpzTy4O-6g/1I8DaV3GMyHfdqYhNa82BtS7FuTKK0PBrcBTS_gAZOCk6ycRER5D0VLM18uljdehw9svsOV5ZtciiWk1AoGGXPGqdRs63sv8-RLWc_bKOdl2-7ECqYQrUH-l1bvYAJeqqS3muyZohSqlGkNNSHpAnd1M10pWOgn25gfJuDfvFGezL7WlNE-Jx6IJw7goOgojcYtI_l8xWF2ndR8hTO-qgw/doVCk8_ilwWYdEZB5bqLEX5N-p2kBY-HpBYGhG-qhVI),114000,8765797,7,2015-10-04,2023-08-03 8:58pm,$1 - $12
recSf8aWT4oWe8Ou2,5,Kirikou A-kili,JlVE9ndiIQ9slIbZPdTpGiW5sD6TMwH2bGjHZl6X8LHTmCuglL11pBgAYxJJmked7gDzNjw1ng=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/GJe4NuzvGziOtdyJnoBQXg/q-XfcbUQi78sdExaclLOCRYHLIBn0q5Vt2yYU1PdiJg02quRN4BOj5JcBZNEH4kGcQWp_gLh8zFIOXMFrGSyi1QUdPcM8tiTMIwwFSZK5UK9la-hb4TCVUmsVJgiPKcNiE6zb0DmLKXu30NU-eaOliZu9udbbo9hnMo31ZX4z-QvmWH3ke7_xLF1o1mbJ30tnfr49eW8KWu_5ADp0faVhw/jKzthIokbRs9WxNXAhr27hlYMOqScbUjhzUukYErfdI),110000,5249068,14,2018-07-11,2023-08-03 8:58pm,$1 - $11
rec07QoojbKcSmpvh,6,Double Jay OnceAgain,YjsHOzqy-UyGJX4LErMsJTEzqg0smKCcu5ODa7ybMJbzURNxlLmAe4AbnCd0086Gh_pVQ_0YJg=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/jH43mjok2pVpvvK2AZ0zlA/UPjrZNI4SDozvQcdgkJersT-oifpkwpikVnm4OfvxIFEqISyhGWGGJuYhcwFj9-gajq5ojhsE0Rlt-CpoC63ljHDzbLtSK1_2lgHhN5e-Nu-zyLhNM5kMkG1O9uVECte0MGDOLS-tpLAxStpAVjxngf8VBMELJQv81EsDDT3FhEZNXnSlWwquKq9bgS6r9XNQxiAy16B-Os0tYkbCh1uvg/G_IeXTDKobPkgurBswhUaFQ59VdEqDnfDQ5Wsg4vrtU),104000,6989827,17,2018-01-11,2023-08-03 8:58pm,$1 - $14
recbhWDdB8UudNQQD,7,B-Face Official,AOPolaROZVRthZtiKt1_c70KNEdinpiZoRjPvWjjsGtLUg=s88-c-k-c0x00ffffff-no-rj-mo (https://v5.airtableusercontent.com/v1/19/19/1691496000000/g_zvuYUiGQv3ls2MHR4wbA/u6vqj2s6zROWvvgnL1Kr42EiHmBr1pJPYAZHaRJvse2YGO7DGyELrd5N7HXI3P6PrCU_fm0TAVMWQTGG7d5qBQQbr61uanRcNrs9L7MmlU_Xyd5ndxGohicJJL2sVFqU-FkoLwnLnuD5GH3cAgomEIO84ERt1Tvw1az2bPCEU-DllZJVTaoqu-QB9ETAF5E4/7Di_rX9Cn0_mnsPVCof91J5Lf5oi79FnyGbd3A7lnRQ),95800,5539566,182,2016-09-19,2023-08-03 8:58pm,$1 - $9
rectSvAZm3bNA8gXD,8,Alvin Smith Official,sm9w3Z4sCb65aTB4rCp0o1nS9U0RrQBQKNOVYfU9af56pehWPesVQG3nVRtRK5DXJTyq9BVnyQ=s88-c-k-c0x00ffffff-no-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/zFNggoayv6l0e7gZuafI6Q/8vEceVvBkgxGcfiIYHlDP2HHHTwpnt5KXZ7Vz0V_h6O565Bf4a-2N8IQLcr9rVannaY2ca5u5IDeJ9NeWTwZ7Zo0nAfHflJMxdxgW0akhj43AaM8IbkiN0J5WHYqBa5s2s1PtJbuzy0mjVcfLyJRB40iAC8897XbeGNOIue4ITWQ_MflV1W7tyreFE3NaJj0hWjzxgP1gZSNDmTzqlQuag/iJSzxyxi3fX__FvgViuddPYvm3yT-3Um4v_tHrtrBIw),86300,5892552,199,2013-04-26,2023-08-03 8:58pm,$0 - $6
recvM5HJ5efTle15a,9,D-ONE,GtR-XjaCXAd2JhaWOqGnO3pZeb7-puP0vgjhfyR7sHHEsX8pYzP8f4qp5kMVPqL-RTXTyY31Pw=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/2EqDK4Th3oYIq6xKjmnDGA/Sczaf7tfsJvaZ5STH-p8pmZ_yXFYMoIReVCL7JqX9OLFj1OQaVXZJiYYP-oleF6oFP8tg24kztUOV2ZUnZ-Sr8z3QDf-dn2rpCl2FirHkTZczUGimzas8Yyi8dniJrZfmReFwVoZak7sFF2PUjIkcKK_u3nHPkz9QwcvbiknvVJcqFMdXxuiW9W3Quh6Xp2zArA3tSZ6L_D360MoK1GwYQ/XfUxxVuhRdUvgeAKzX-P9WYnu0thAohy3nTEu_yUD3E),86200,6129777,23,2021-04-16,2023-08-03 8:58pm,$2 - $29
rec0fq6oRz7PMsKps,10,Natacha Burundi,AOPolaT2JoB0LTqJ9n_7c5nqelNSrCvAHvcj8kIFIqiDcg=s88-c-k-c0x00ffffff-no-rj-mo (https://v5.airtableusercontent.com/v1/19/19/1691496000000/oeWcvu3qJPN0oiQavSZp5g/MJYsjpcaLQY7ahXIlBdpNj5u7uIE0J2z0t_HIug6ARIgwfNQ14hqzMDp2WucoTPSZtRD-A_r4X-aguOeSlQwyXAPF_Ga3Td9gTKFG49cmN05dtQfem93zd1_8EDZxDlx8X7pvPnGLPA21x31a2VNg8LeVQASOiKLg47sQnnN9C9e7TnDcQFSCkMocFVQICaH/5bUiwr3sqq0MF_c6re6--VlgYOY6VFj9lxRtDSdvkyQ),63600,5484897,93,2015-04-22,2023-08-03 8:58pm,$0 - $7
recQ1ZzdWmoQLnGr9,11,Ado Josan,AOPolaQZbBjQ7jP_bmQHYL1uaMNQFIHAtPT-MfUz0OqLOw=s88-c-k-c0x00ffffff-no-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/Zvz1i4qyiqhlK8TMhyDqfg/nnf1TZgo9tBAEdVqQlpSjIh8RprKePcCrGzlCUWgLfjV65IeJziExngdxUUnSyzvmP6iDVGkSuo9hBt58dkgcbQ70lvC6VKvZ0mrg-AB9HD1J2xnZZj5Glf-fqh6tqpNxIRKGza-4wPKXJIjquvbS7Vg6AYTy_gfSF6aEeqKnzI/_BSqBj4f8mVjqe6MDvy1zUtNqcHlJ8wy62cqIRkVedA),58300,5135370,21,2014-02-15,2023-08-03 8:58pm,$0 - $6
recoJBgDMSh2L9GEp,12,MB DATA Boy,AOPolaRZ-EC3n_iWKy5tyDCDfC7ynYx_uGv7UK8ojCEO=s88-c-k-c0x00ffffff-no-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/UcgF62UKLpxdhIGBet_mzA/xGW-zYZXVVKZlduWu-es8gC2bPlOe55GpgfMeINOn006CD9IbufBwhocWkvpzNe8Yyg66IXyEz9WmJoNM_LGknsWdzk2gNZYZda88A8n9ZFvLQcbFKHonPpT9wKs0xQEh7RnAUKJPHKmObZI2I_FkiU26GA7TY3pm9gv8-JVfOE/W8vDUrez0uG1WNaAhHZqU80dzNSauLWEixGC3TgY4po),50600,2782136,26,2020-06-02,2023-08-03 8:58pm,$1 - $10
rec22SNmrrZAoO2kc,13,Trey Zo & Rappy Boy,H-5kSLGvQjgVnpA89dWAYhSw_IBsqP2AJ53DUCdJVLlaXcSvaXpQvdQxMFhyfSkzb7AU9DwtxA=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/ktU2QxvGKqEQHaJyWVeYEg/RoKWDCbxo7No3Vc6dR7O2C8l3pI5fTS9Fvm8sPLfZdj21dJPeqGFptNxFA4JANaF9P8oJW1mrwW2OsU8LcPp5QMhKRX26r5gMImdPobMcZaI3221_tcue2zR-z8jlRJc70jQM_Sr_LjE6gczMORjKBKmiV4vI2likDSCz09Zs9O9she0C0ylEJWE-p14w8BBwBdEDHnCct71qBsCQbpneA/ta0LfqYdCaPp4eqznvOqKqYuG3eawIkOKEh_rqnlINY),46500,3326294,21,2016-02-19,2023-08-03 8:58pm,$0 - $5
recbpOwWwraQCdIuU,14,Mista champagne,dQh0ts78pMRp8ZU7yoDJ7m8_zEfwzYtkU4sRHDdWqPJFhqLKySM3JbN90tXBhdoRqGj7qH1k=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/HIUJVP85D-DnpPCPpdczYA/spBSx2iLRIP8-HFko31cxGEK9mrY3PEtDcTCNSLHmkIm9-IlxE5hHfEJHzju2lTsCLVwHkoTSw0Fn8kiBoLDrLBgq9AsGZ5m0e4N0d2iwf6x3M1UTNn-DE_JCtq8Bnnn_JqZgIWhS_3G-jtng26NnZb8liDF4ZSVZoZJ7fcbktXt__2ZQD15VaqsINq1LXU0_yZw7z0bZaP0Tv1at3ej0w/nJ3kNT6XaFIRdYZZtGyPhlM4yPY8gzl-gnnreeSVcTU),41400,1905651,208,2019-04-25,2023-08-03 8:58pm,$0 - $5
rec8rLdJDpbnNecxY,15,R-Flow The Raincoat ,EbFhmrL2AsOSMMX3ksJvtTAz_dskNvNTBTQweFG6dWRUl-B1MJpeTuJhxD3yYl8e_p9_Tp1j=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/B32PXl-sbYCJcTCWkaSTsw/lQQZkMQMutKiiJh88DarHA6_llTTytFt0UweQ3sneaqzC-cHnQVXCsrBNTcWbfskDPiCy-dyp0_rXT1n7f9FzhvTx2qbni1pYrAwdM2R-4-MO5N-iLEpgn5vfOgpGppc1mjKppAMg48OJJNteUE5NaHUPnwzqcvURxaK5ZmsyhA88dDzKLLM2QWum5r2vjivXuEukL4ESvRBYj5XOLA9Yg/leJPU5Kcl_ogGvaNCEJXhozGCODYtR-Ivh9UqpBJbug),40000,1693877,19,2019-03-21,2023-08-03 8:58pm,$0 - $4
recNxv5Mo6ODAQOvY,16,Mo'W Kanzie Official,AOPolaQeS_IZymjiwfO-Tk1I1PS33sZMT4MwSSkB9JDG5Q=s88-c-k-c0x00ffffff-no-rj-mo (https://v5.airtableusercontent.com/v1/19/19/1691496000000/tQatQGiXlv5RtBzD3ot-SQ/EWMpSF87HxOnK0DGLun3H21vpyvcTnau5U0qOVqvwBzqG4QPcaZr4VRjxcos-JZpKDU4cHiEJ_gGiw-kwVkw5i0W8u8xB_tCzWy1g5Bmk4khL1KGz2sNRLC-TQkl1KqZbl7EBwhNAB8FI6svJdaGuOcXc6NOXr1rGqejTOm4jYMLd25dk4nYsJkKWKQ2_Iwp/kHXZlt31urjsaP7Nv2rp6a6CAHrJfvDGb5GjYmTA1J8),36600,1711595,57,2014-07-27,2023-08-03 8:58pm,$0 - $2
recojjGBtxoxYYqD1,17,Esther Nish Official,5KT48SH_f1wD_g6LR8lu1euZoZISibXu2aInWAohOy-oGCA5aqImhw5gRs9nIYdr_kCsz3qwqQ=s88-c-k-c0x00ffffff-no-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/y8H5terBWKYFbbvC4T71jw/qwTQQc6_A8ZX2V8MxfR7RVhLet_L103SQmkrHwweFNMg2s1CwE_a_Lu13N6JLf34moeyVMXz1y-RPCNMNhY6QEjguPOqeuW81a8fDldBpaV9xUD4jG-YVBYhcjhYEfBxX-Jm3EbKrfcWTQ764fg69WF55H651bRZaip5-JrOovq4sFF_XMMr7Lelm1BvnPOqf82hkxy8Hg6saqBQJwVRdw/OF_QBakpEqwAUPu3Aus7n9mBep2Fv32JJXJib0uqFWo),32600,1379626,34,2018-08-14,2023-08-03 8:58pm,$0 - $3
reczZLP2hHYqJtgYR,18,Vichou Love,_XpQIh4k2Ug7NLo7XnG_L_KyJYfkui1zuubDPnsF8AZWb1eb7zCRw4OjHTLgBlTYyM2b_XzqIRc=s88-c-k-c0x00ffffff-no-nd-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/1GBRxXftxtWkS1UZOGLL5A/2tRQcJZ3LoYiFUrvcWaqoUzzrJ5R_nL8VWY0-6Qc7E5fJUJ5WVH5h4SbcK3e5as5GGrkhrQPSJi2s7ADAxhuOQJh5k8A9cBguK90DwEUiUUNArY2DUS6zM5F4O6jgPiJJPRy9dE8nMp04v0mctFsxx8-lXhrXhSEziiFZ9Xbjqlhb5Hc-gufRuPjZMjF1jJfAcNLxN81ju3NtU9rjInKzA/B11_H0wUHSKg1esH4-VvMk420--xNNtpY1hC23GtTr8),31700,1797794,68,2017-07-02,2023-08-03 8:58pm,$0 - $3
recAFwFhW2LaiAJjz,19,LinoG Umvukuri,XDg-iAFnqqypvS4sAvyfzCUlyIJ0ov6mT4bhAyqpaGg_XWBT0g4Hvds4XxUh4w6lE5YryQKrVg=s88-c-k-c0x00ffffff-no-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/VO_VeTJKgy6t9ABnZJRDUA/tsRDgywcBT31tvDDIS7hO2G9p-JD084rWvl0ecvJBv042jaxCEjdsHFbFFUDXKIIbUf_FvwSdoaOrbmHTRfKZENxIMF93QiD_DE1KBQGBHq0JoxeqHmclCl4bZ7Wni6KqnZT9I3KISI8jGqMjNqUgWIQ_AW9UigWWySbxoTh-RiMOWWY6XPpXDC_tzgeFzkO0eyyGAs0iThFzRaO48ZmNA/HzmsYG9EWs6KBTipVbTDvz46bcpMpiaRv7ZVFpuQiZs),29400,1195957,10,2018-02-05,2023-08-03 8:58pm,$0 - $2
recwTCC7a2HinGTCq,20,Berry Music,wHwcWIow-LEznGCPthBFpe_0YzAYvNsy86hQoHrp72X4g8IocUcwB4wM8p4-9-kae_Fa3c0f=s88-c-k-c0x00ffffff-no-rj (https://v5.airtableusercontent.com/v1/19/19/1691496000000/0KwXATC3yYWgD3cpZn727w/x6cZtyGbfMlS2uGD6dmpoQoIT0EZzkhCFrJmJA5ts_-7dnV-Snzt4UGnR6lNM8kP0dIfhbRRzNH7UT_vHjvrNUvNZ_29U-o2FLrl8K98ScOWQ9KwU2T4cnY9zcme2h1fzIKq-Q789Kmk-d0xeUpQgRpBLSDw-Xd_5uCh9FmvJdWpYct1TPY4L_KGLPJh_7A_aJrG3I5xw27z5aqKOm64Zg/U-eVRpHcTvnXcwWU_unSAHFnGnkfpboAc5woie0sfGc),28700,1431688,7,2020-06-20,2023-08-03 8:58pm,$0 - $5
